ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 14,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 20
รามาธิบดี,Top,None,Private,1378,1000,9,1041,0.15378234903782348,0.8465494359654944,6028,19259.947368421053,3063.2298538367845,8840.486301369863,6618.080676691729,8295.888621794871,17632.86741424802,6393.766435643563,0.0,5764.920913043478,15637.577586206897
ราษฎร์บูรณะ,None,None,Public,124,3950,9,46,0.11826086956521739,0.8817391304347826,575,5658.642857142857,2987.0243902439024,933.0,8118.056074766355,5776.379746835443,10363.8,2670.734693877551,0.0,4960.536585365854,4062.3488372093025
ลาดพร้าว,None,None,Private,180,4700,8,206,0.06286337209302326,0.9372577519379846,8256,6319.916856540083,2300.5309374999997,7167.791779661017,3047.7330630630627,2783.0573787680205,7412.692765598652,6130.034960422164,0.0,2541.8440581717446,4058.524672131148
วชิรพยาบาล,Top,None,Public,740,2400,9,341,0.450199203187251,0.5577689243027888,251,16656.0,1194.3103448275863,20297.2,21082.89285714286,25248.58695652174,14244.84375,4953.27,2365.0,4888.941176470588,5551.84375
วิชัยเวช แยกไฟฉาย,None,Vichaivej,Private,49,3250,9,7,0.09900990099009901,0.900990099009901,202,848.6666666666666,880.0,530.0,8976.591666666667,1155.7878787878788,1320.909090909091,8303.666666666666,0.0,739.4285714285714,6851.041666666667
วิชัยเวชอินเตอร์เนชั่นแนลหนองแขม(ศรีวิชัย2),None,Vichaivej,Private,172,4200,8,137,0.12229102167182662,0.8792569659442725,646,7042.282608695652,1126.7708333333333,3318.0,882.1428571428571,4565.361842105263,9425.745098039215,1154.34375,0.0,5006.11320754717,3264.3714285714286
วิชัยยุทธ,None,None,Private,207,5500,9,716,0.07395418326693227,0.9267928286852589,4016,10691.110659898479,4204.89367816092,8236.547272727274,4257.659471365639,3808.6792348993285,12643.13273364486,7812.671034482759,0.0,9575.747687861272,4347.987123893806
วิภาราม,None,VIBHA,Private,150,2200,9,272,0.05482972799314628,0.9451702720068537,4669,4089.262987012987,4594.938181818182,1767.8684210526317,2042.0055865921788,3233.57684729064,4954.089552238806,4826.91095890411,0.0,2228.230061349693,5986.444610778443
วิภาวดี,None,None,Private,258,4360,8,417,0.09191469950963622,0.9080853004903637,8769,9122.581395348838,2877.6630669546435,6852.164556962025,2625.4380403458213,4672.388574369532,9648.650341685649,4947.125,3809.0,7248.540918163672,6510.464968152866
วิมุต,None,None,Private,236,5900,7,232,0.041353383458646614,0.9586466165413534,266,8956.182857142858,0.0,980.0,2759.880735294118,912.020625,5614.733333333334,1204.48,0.0,1743.2857142857142,2004.6753846153845
ศิครินทร์,None,None,Private,258,5100,9,348,0.08176905574516496,0.9182309442548351,7032,7979.404913043477,2541.45189010989,4360.649275362319,2777.823368421053,3711.878502604168,9385.670026041664,5826.521815718157,1337.25,5127.91899159664,4956.834066666667
ศิริราช ปิยมหาราชการุณย์,Top,None,Private,350,6700,9,615,0.22162576687116564,0.778680981595092,6520,11175.995117647059,5925.884615384615,47137.14324324324,21246.721374045803,9326.330672748005,35509.09031198687,23102.97670682731,28454.666666666668,14808.299011299434,11036.335684647303
ศิริราชพยาบาล,None,None,Public,2112,1000,9,2263,0.23731186559327966,0.7633881694084704,2857,8550.010204081633,4644.5684357541895,16376.666666666666,19317.171919770775,6933.655555555555,17494.26551724138,11893.18376,24961.625,10341.784574468085,3579.492718446602
สมเด็จพระปิ่นเกล้า กรมแพทย์ทหารเรือ กองทัพเรือ,None,None,Public,414,2200,4,173,0.24468085106382978,0.7553191489361702,94,4850.0,1221.923076923077,0.0,23429.777777777777,689.9852941176471,4958.0,1133.0,0.0,1594.6666666666667,586.5
