ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,แผนกพื้นฐานในการรักษา,จำนวนแพทย์,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 3,กลุ่มที่ 4,กลุ่มที่ 5,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 12,กลุ่มที่ 13,กลุ่มที่ 14,กลุ่มที่ 15,กลุ่มที่ 17,กลุ่มที่ 19,กลุ่มที่ 20,กลุ่มที่ 21
เพชรเวช,0,0,1,200,9,306,503,1129.142857142857,13202.333333333334,1008.6909090909091,0,1497.142857142857,1195.578947368421,959.0833333333334,1140.6842105263158,33113.5,1235.7435897435898,1793.4864864864865,0.0,0.0,4255.25,8502.684210526315,0.0
เมดพาร์ค,1,0,1,205,9,394,34,5725.0,1994.6666666666667,0.0,0,0.0,3085.0,0.0,0.0,2782.0,11087.0,1200.0,0.0,0.0,1550.0,3753.5,0.0
เลิดสิน,0,0,0,609,9,185,14,0.0,0.0,470.0,0,19011.0,0.0,0.0,433.0,0.0,2126.285714285714,0.0,0.0,0.0,0.0,0.0,0.0
เวชการุณย์รัศมิ์,0,0,0,90,9,50,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.0,0.0
เวชธานี,0,0,1,263,8,722,472,10454.869999999999,3140.0,4264.314237288137,0,12140.8875,2406.3195833333334,1338.3474999999999,7813.867346938776,83349.44,2737.724166666667,4718.488333333333,0.0,0.0,16625.285714285714,1777.341923076923,13141.0
เวชศาสตร์เขตร้อน,0,0,0,106,3,41,19,0.0,0.0,700.0,0,0.0,0.0,0.0,2350.0,632.0,1103.75,3818.0,0.0,0.0,0.0,0.0,700.0
เสรีรักษ์,0,1,1,238,9,231,553,8027.542857142857,0.0,4385.458333333333,0,4262.9,4491.277777777777,4348.9473684210525,18397.29411764706,115053.0,2305.1866666666665,8447.8,0.0,0.0,6004.0,4729.082644628099,20151.0
แพทย์ปัญญา,0,0,1,125,9,22,22,36592.0,14020.0,0.0,0,55784.0,0.0,0.0,1700.0,0.0,733.0,160156.0,0.0,0.0,699.0,0.0,0.0
ไทยจักษุ,0,0,1,10,2,23,8,0.0,0.0,0.0,0,0.0,20710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ไทยนครินทร์,0,0,1,190,9,346,590,5923.731707317073,4863.8,2244.095238095238,0,3685.3333333333335,3769.0666666666666,1503.4375,5231.166666666667,68559.5,1741.1348314606741,7735.833333333333,0.0,0.0,2804.0,3732.8285714285716,11911.0
กรุงเทพ : BDMS,1,1,1,263,9,1198,1280,4701.144423076923,2199.6666666666665,4317.136826923078,0,10929.2,6062.797361111112,1696.2816666666665,12169.277413793106,165319.93000000002,8080.277647058823,8305.016477272728,0.0,0.0,9525.635,60547.78753246754,28821.0
กรุงเทพคริสเตียน,1,0,1,244,6,319,804,9632.512195121952,10560.0,2613.0506329113923,0,2618.181818181818,3334.3898305084745,5731.193548387097,11298.685714285713,57243.0,2948.5785123966944,5251.8,0.0,0.0,5544.8,2327.551724137931,17960.0
กล้วยน้ำไท 1,0,0,1,160,8,85,106,4078.5454545454545,0.0,1218.6666666666667,0,0.0,925.3333333333334,1247.5,10980.333333333334,37668.0,1174.0,1101.0,0.0,0.0,8218.5,1566.25,0.0
กล้วยน้ำไท 2,0,0,1,90,1,8,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
กลาง,0,0,0,475,9,116,27,1480.5,0.0,0.0,0,0.0,3971.3633333333332,0.0,2726.8,0.0,3343.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0
คามิลเลียน,0,0,1,120,7,146,135,2825.1428571428573,500.0,1834.25,0,1673.0,1587.6666666666667,1171.0,1041.25,4282.0,936.1276595744681,654.25,0.0,0.0,0.0,1850.1818181818182,16300.0
จักษุรัตนิน,0,0,1,12,1,40,108,0.0,0.0,0.0,0,1770.0,4965.038834951456,0.0,0.0,750.5,0.0,0.0,0.0,0.0,1610.0,0.0,700.0
จุฬาภรณ์,0,0,0,115,8,445,142,23183.5,0.0,795.0,0,7786.75,839.6666666666666,0.0,1872.5,5442.875,818.1666666666666,3386.4545454545455,0.0,0.0,0.0,1223.5,0.0
จุฬาลงกรณ์,1,0,0,1485,9,435,627,8996.8,1721.7142857142858,1992.7627118644068,0,2919.0,7975.669047619047,1153.4,3111.9636363636364,41149.5,8783.0,7110.35593220339,22095.0,0.0,53691.5,7126.0,37460.0
